Artist,Play Count
The New Pornographers,45
The Commitments,16
The Music,4
The Stone Roses,400
The Pot Head,1
The Last Shadow Puppets,2
The Dubliners,8
The Sound Stylistics,1
They Might Be Giants,83
The Easybeats,1
The Waitresses,1
The Mighty Lemon Drops,2
The Stooges,226
The Ronettes,1
The Chats,5
The Unicorns,2
The Champs,2
The Rolling Stones,211
The QI Elves,86
The Zombies,8
The Japanese Popstars,140
The Byrds,9
The Donnas,5
The Replacements,27
The Rub,1
The Birthday Party,1
The Invitations,1
The Coral,28
Them Crooked Vultures,6
The Waterboys,7
The Peep Tempel,1
Theo Katzman,2
The Orb,2
The Tornadoes,3
The Breeders,149
The Selecter,4
The Nerves,1
The Blasters,1
The Proclaimers,1
The Budos Band,14
The Black Ghosts,3
The Revs,4
The English Beat,58
The Lemon Twigs,1
The Fat Lady Sings,2
The Muffs,2
The Bonzo Dog Band,1
The Emotions,3
The Mighty Mighty Bosstones,32
The Carstairs,1
The Faint,1
The Paddingtons,2
The Barbs,2
The Avalanches,60
The New York Dolls,1
The 2 Bears,1
The Fatima Mansions,18
The Drums,12
The Undertones,5
The Fiery Furnaces,3
The 1900s,12
The Velvet Underground & Nico,8
The Magic Numbers,1
The xx,13
The Style Council,1
The Evens,1
The O'Jays,14
The Boy Least Likely To,51
The Gap Band,2
The Chords,1
The Sleepy Jackson,2
The Delfonics,7
The Drifters,4
The HiFly Orchestra,1
The Centurians,1
The Cars,2
The Automatic,8
The Flaming Lips,390
The Spencer Davis Group,3
The Comet Is Coming,2
The Only Ones,22
The Gossip,70
The Sugarcubes,18
The Housemartins,1
The Beths,1
The Unseen Guest,1
The Special AKA,6
The View,14
The Divine Comedy,47
The Future Kings of Spain,4
The Village Callers,1
The Meices,2
The Jackson 5,3
The Electric Soft Parade,10
The Family Crest,1
The Tossers,1
The Stone Roses V Lily Allen,1
The Gun Club,2
The Cribs,1
The Vendetta,1
The War on Drugs,31
The Who,160
The Stoats,3
The Statler Brothers,1
The All Seeing I,2
The Pains of Being Pure at Heart,3
The Smartest Man in the World,2
The Milk Carton Kids,5
The Cranberries,12
